"日期","收盘","开盘","高","低","涨跌幅"
"2026-4-1","1.815","1.820","1.820","1.810","-0.17%"
"2026-3-1","1.818","1.790","1.830","1.710","-0.66%"
"2026-2-1","1.830","1.800","1.820","1.780","1.50%"
"2026-1-1","1.803","1.850","1.880","1.790","-3.17%"
"2025-12-1","1.862","1.830","1.860","1.760","1.64%"
"2025-11-1","1.832","1.740","1.840","1.740","3.85%"
"2025-10-1","1.764","1.880","1.880","1.750","-6.07%"
"2025-9-1","1.878","1.780","1.890","1.750","5.21%"
"2025-8-1","1.785","1.710","1.780","1.690","3.30%"
"2025-7-1","1.728","1.640","1.740","1.640","4.66%"
"2025-6-1","1.651","1.700","1.700","1.620","-2.88%"
"2025-5-1","1.700","1.630","1.710","1.630","4.55%"
"2025-4-1","1.626","1.870","1.870","1.620","-13.05%"
"2025-3-1","1.870","1.770","1.940","1.750","5.65%"
"2025-2-1","1.770","1.620","1.780","1.600","7.93%"
"2025-1-1","1.640","1.610","1.650","1.590","-1.80%"
"2024-12-1","1.670","2.070","2.071","1.668","-18.14%"
"2024-11-1","2.040","2.133","2.183","2.025","-4.23%"
"2024-10-1","2.130","2.148","2.196","2.080","0.00%"
"2024-9-1","2.130","2.270","2.270","2.025","-2.43%"
"2024-8-1","2.183","2.211","2.275","2.099","1.63%"
"2024-7-1","2.148","2.303","2.370","2.126","-2.72%"
"2024-6-1","2.208","2.347","2.410","2.200","-4.83%"
"2024-5-1","2.320","2.442","2.442","2.227","0.48%"
"2024-4-1","2.309","2.400","2.435","2.205","0.35%"
"2024-3-1","2.301","2.363","2.427","2.237","-2.62%"
"2024-2-1","2.363","2.473","2.539","2.341","-2.76%"
"2024-1-1","2.430","2.695","2.695","2.418","-5.78%"
"2023-12-1","2.579","2.719","2.734","2.565","-3.98%"
"2023-11-1","2.686","2.706","2.805","2.645","-0.85%"
"2023-10-1","2.709","2.740","2.767","2.686","-0.22%"
"2023-9-1","2.715","2.594","2.741","2.594","4.87%"
"2023-8-1","2.589","2.811","2.811","2.533","-4.00%"
"2023-7-1","2.697","2.700","2.810","2.636","0.52%"
"2023-6-1","2.683","2.785","2.820","2.622","-1.14%"
"2023-5-1","2.714","2.878","2.878","2.693","-2.55%"
"2023-4-1","2.785","2.913","2.958","2.775","-2.66%"
"2023-3-1","2.861","2.918","2.990","2.850","-1.79%"
"2023-2-1","2.913","2.966","3.020","2.889","-0.51%"
"2023-1-1","2.928","2.947","3.060","2.856","1.53%"
"2022-12-1","2.884","2.932","3.025","2.858","-1.33%"
"2022-11-1","2.923","2.670","2.943","2.650","10.30%"
"2022-10-1","2.650","2.865","2.865","2.636","-4.74%"
"2022-9-1","2.782","2.661","2.800","2.623","5.02%"
"2022-8-1","2.649","2.805","2.805","2.615","-3.99%"
"2022-7-1","2.759","2.853","2.905","2.755","-2.30%"
"2022-6-1","2.824","2.825","2.880","2.776","0.75%"
"2022-5-1","2.803","2.928","2.928","2.742","-1.34%"
"2022-4-1","2.841","2.854","2.922","2.783","0.85%"
"2022-3-1","2.817","2.854","2.935","2.761","0.93%"
"2022-2-1","2.791","2.800","2.887","2.712","1.53%"
"2022-1-1","2.749","2.850","2.890","2.660","-1.22%"
"2021-12-1","2.783","2.903","2.940","2.771","-2.93%"
"2021-11-1","2.867","3.030","3.050","2.848","-3.66%"
"2021-10-1","2.976","3.000","3.108","2.885","3.55%"
"2021-9-1","2.874","2.930","3.000","2.823","0.60%"
"2021-8-1","2.857","2.970","2.980","2.803","0.42%"
"2021-7-1","2.845","3.107","3.210","2.843","-7.72%"
"2021-6-1","3.083","3.112","3.230","3.068","0.19%"
"2021-5-1","3.077","3.208","3.260","3.063","-3.12%"
"2021-4-1","3.176","3.227","3.320","3.145","-0.78%"
"2021-3-1","3.201","3.325","3.360","3.196","-2.68%"
"2021-2-1","3.289","3.250","3.385","3.177","1.92%"
